ID,Taxon_ID,objid,bitstreamid,tags,mime_type,creator,date,place,permission,source,Comment
4cc03f23c253a3d2af2849265384d883,cyperaceae,EAEA0-DDE3-DD40-25CD-0,,flower;thumbnail3,image/jpeg,David  Eickhoff,2006-06-29,,http://creativecommons.org/licenses/by/2.0/,http://media.eol.org/data_objects/24942476,
4d02b3aa38168ec8dbb5496fdc17fdb5,cyperaceae,EAEA0-1686-F9F3-29B6-0,,general;thumbnail4,image/jpeg,David  Eickhoff,2008-10-03,,http://creativecommons.org/licenses/by/2.0/,http://media.eol.org/data_objects/28563381,
976ce05febda2a2249b1363f6869aba0,cyperaceae,EAEA0-F637-38E5-F480-0,,general;group;thumbnail2,image/jpeg,Jerry Oldenettel,2011-04-18,"Okavango, Namibia",http://creativecommons.org/licenses/by-nc-sa/2.0/,http://media.eol.org/data_objects/25770836,
f8af7a40f86b147065bf9db9847703b2,cyperaceae,EAEA0-62F4-B347-DBFD-0,,flower;thumbnail1,image/jpeg,USDA NRCS PLANTS Database,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/1382308,
47d2c24d0986014630a7220e5dbfd84b,cyperuslongus,EAEA0-7700-EE48-3C8D-0,,flower;thumbnail1,image/jpeg,Ximénez,2003-07-12,"Valle de Amblés, Ávila, Spain",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Pradera5.jpg,
4945b3447bd1175716847b7c8ae2704a,cyperuslongus,EAEA0-E4B9-186C-B726-0,,drawing;thumbnail2,image/jpeg,"Adolphus Ypey, published by Kurt Stüber",1813 (?),unknown,http://en.wikipedia.org/wiki/Public_domain,http://commons.wikimedia.org/wiki/File:Cyperus_longus_Ypey52.jpg,
ca2348857dc85ddfb722ad34e070abb9,cyperusmargaritaceusvahl,EAEA0-C7A6-99A2-514A-0,,flower;thumbnail1,image/jpeg,Research Institute Senckenberg,,"Malawi, Lilongwe, Natures Gift Farm",http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21920226,
bef8f347f3712b1c4110d80fcbadb67f,damaliscuslunatus,EAEA0-B02E-A464-D368-0,,female;young;thumbnail2,image/jpeg,Daniel Fafard (Dreamdan),2009-10-21,"Masai Mara, Kenia",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Damaliscus_topi.jpg,
da31ead1f9dc9eb724bcf5553af5d1ee,damaliscuslunatus,EAEA0-5206-7A32-9170-0,,general;side;thumbnail1,image/jpeg,Paulmaz,2002,"Tsessebe, Okavango, Botswana",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://en.wikipedia.org/wiki/File:Tsessebe_%28Botswana%29.jpg,
374aedebd51de6975abaeb41ab92091e,damaliscuspygargusphillipsi,EAEA0-A6A6-5576-E00E-0,,general;thumbnail2,image/jpeg,Christfried Naumann,2009-03-08,"Naturkunde-Museum Berlin, Germany",http://en.wikipedia.org/wiki/Public_domain,,
30b628d016348d8179dcaa4bcd134507,danauschrysippus,EAEA0-8052-A41E-CC8A-0,,side;thumbnail4,image/jpeg,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi district, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
3997ded52b48cdfe647ab98dfc402a49,danauschrysippus,EAEA0-8029-A32C-41A4-0,,general;thumbnail1,image/jpeg,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi district, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
85afa4b8d1854f2f942e03c29c2105da,danauschrysippus,EAEA0-7C71-6252-6B55-0,,side;thumbnail3,image/jpeg,Christfried Naumann,2009-03-29,"Tweerivieren camp, Kgalagadi Transfrontier Park, South Africa",http://en.wikipedia.org/wiki/Public_domain,,
f691fd6acf42d761f4eb01b87bb4c50c,danauschrysippus,EAEA0-8904-9189-51B9-0,,far;thumbnail2,image/jpeg,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi district, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
