ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey,Description
cyperusimbricatus,Cyperus imbricatus,,,2714233,Cyperus imbricatus Retz.,Cyperus imbricatus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,
cyperuslongus,Cyperus longus,,,8243603,Cyperus longus L.,Cyperus longus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,
cyperusmargaritaceusvahl,Cyperus margaritaceus,,,2716662,Cyperus margaritaceus Vahl,Cyperus margaritaceus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,small sedge; up to 50 cm tall; light-coloured inflorescence
cyperususitatus,Cyperus usitatus,,,7849999,Cyperus usitatus Burch.,Cyperus usitatus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,"sedge with many thin, linear leaves with a single peduncle ending in a tuft of compressed brown buds, bulb is edible"
cyphostemmacongestum,Cyphostemma congestum,,,4052662,Cyphostemma congestum (Baker) Desc. ex Wild & R.B.Drumm.,Cyphostemma congestum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Vitales,7222050,Vitaceae,6672,Cyphostemma,7293685,
cyphostemmahereroense,Cyphostemma hereroense,,,4054995,Cyphostemma hereroense (Schinz) Desc. ex Wild & R.B.Drumm.,Cyphostemma hereroense,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Vitales,7222050,Vitaceae,6672,Cyphostemma,7293685,"creeping, perennial herb; up to 50 cm tall; dissected, 5-lobed, succulent leaves; fruit is a bright red grape"
dactylocteniumgiganteum,Dactyloctenium giganteum,,,4149875,Dactyloctenium giganteum B.S.Fisher & Schweick.,Dactyloctenium giganteum,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Dactyloctenium,2706187,
damaliscuslunatus,Damaliscus lunatus,,,2441041,"Damaliscus lunatus (Burchell, 1823)",Damaliscus lunatus,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Artiodactyla,731,Bovidae,9614,Damaliscus,2441039,herbivore; height: 100-150cm; the coat is dark reddish-brown; they have a dark blaze on the face; also the upper parts of the legs are black; they have a hump on the shoulders and the back slopes downwards: both sexes have horns; the horns are ringed and S-shaped;
damaliscuspygargusdorcas,Damaliscus pygargus dorcas,,,2441042,"Damaliscus pygargus (Pallas, 1767)",Damaliscus pygargus,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Artiodactyla,731,Bovidae,9614,Damaliscus,2441039,"herbivore; height: 90cm; the coat is very colourful, the top of the back and the neck are light brown getting darker on the flanks and legs; the belly, the lower legs and a patch around the crop are white; the face is brown with two large, white blazes which usually merge; both sexes have horns; it can be distinguished from the Blesbok by the white patch around the crop"
damaliscuspygargusphillipsi,Damaliscus pygargus phillipsi,,,4262634,"Damaliscus pygargus phillipsi Harper, 1939",Damaliscus pygargus phillipsi,SUBSPECIES,Animalia,1,Chordata,44,Mammalia,359,Artiodactyla,731,Bovidae,9614,Damaliscus,2441039,herbivore; height: 85-100cm; the neck and top of the back are brown; the flanks and buttocks are darker; the belly and part of the legs are white; the face is brown with a small blaze above the eyes and a big blaze on the snout; the ears are white and pointy; the tail is black and bushy; both sexes have horns; it differs from the Bontebok by the blazes on the face being seperated;
danauschrysippus,Danaus chrysippus,,,7642610,"Danaus chrysippus (Linnaeus, 1758)",Danaus chrysippus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Nymphalidae,7017,Danaus,5133087,
dendroaspis,Dendroaspis,,,2469869,"Dendroaspis Schlegel, 1848",Dendroaspis,GENUS,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Elapidae,9455,Dendroaspis,2469869,
dendroaspispolylepis,Dendroaspis polylepis,,,8054654,"Dendroaspis polylepis Günther, 1864",Dendroaspis polylepis,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Elapidae,9455,Dendroaspis,2469869,
dendrocygna,Dendrocygna,,,2498392,"Dendrocygna Swainson, 1837",Dendrocygna,GENUS,Animalia,1,Chordata,44,Aves,212,Anseriformes,1108,Anatidae,2986,Dendrocygna,2498392,
dendromusmelanotis,Dendromus melanotis,,,5219775,"Dendromus melanotis (A.Smith, 1834)",Dendromus melanotis,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Rodentia,1459,Nesomyidae,3240581,Dendromus,2438177,"herbivore; body-length: 6-9cm, tail-length: 7-13 cm; ash-grey on the back and whitish on the underside; the long, curly tail is used for climbing; the eyes are large;"
dendropicosnamaquus,Dendropicos namaquus,,,2478415,"Dendropicos namaquus (A.A.H.Lichtenstein, 1793)",Dendropicos namaquus,SPECIES,Animalia,1,Chordata,44,Aves,212,Piciformes,724,Picidae,9333,Dendropicos,2478384,
dermestes,Dermestes,,,1043928,"Dermestes Linnaeus, 1758",Dermestes,GENUS,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Curculionidae,4239,Dermestes,1043928,
desmodillusauricularis,Desmodillus auricularis,,,2437723,"Desmodillus auricularis (A.Smith, 1834)",Desmodillus auricularis,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Rodentia,1459,Muridae,5510,Desmodillus,2437722,
dialiumenglerianum,Dialium englerianum,,,2970943,Dialium englerianum Henriques,Dialium englerianum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Dialium,2970932,
diamphidia,Diamphidia,,,3262675,"Diamphidia Gerstaecker, 1855",Diamphidia,GENUS,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Chrysomelidae,7780,Diamphidia,3262675,
diamphidiasimplex,Diamphidia simplex,,,,,,,,,,,,,,,,,,,
dicerocaryumeriocarpum,Dicerocaryum eriocarpum,,,3585179,Dicerocaryum eriocarpum (Dcne.) J.Abels.,Dicerocaryum eriocarpum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Pedaliaceae,6650,Dicerocaryum,7313155,"perennial, hairy herb; creeping growth; the leaves are lobed; white to pink, trumpet-shaped flowers; the fruit is a disk with two thorns"
dicerocaryumzanguebarium,Dicerocaryum zanguebarium,,,3585148,Dicerocaryum zanguebarium (Lour.) Merr.,Dicerocaryum zanguebarium,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Pedaliaceae,6650,Dicerocaryum,7313155,
dicerosbicornis,Diceros bicornis,,,5220111,"Diceros bicornis (Linnaeus, 1758)",Diceros bicornis,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Perissodactyla,795,Rhinocerotidae,9415,Diceros,2440872,"herbivore; height: 130-180cm; the the body is barrel shaped with the head held higher than the white Rhinoceros does; the ears are rounded; two horns grow on the snout, the front one is usually larger; the upper lip is pointed;"
dichapetalumcymosum,Dichapetalum cymosum,,,4195988,Dichapetalum cymosum Engl.,Dichapetalum cymosum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Dichapetalaceae,3231311,Dichapetalum,7309866,
dichrostachyscinerea,Dichrostachys cinerea,,,2975891,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys cinerea,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Dichrostachys,2975868,"shrub or small tree; 1-3m tall, flowers in an elongated drooping spike, composed of two sections: a pink tuft of sterile flowers and below a section of fertile yellow flowers; the pods are curly anr twisted;"
dichrostachyscinereaafricana,Dichrostachys cinerea africana,,,2976300,Dichrostachys cinerea subsp. africana Brenan & Brummitt,Dichrostachys cinerea africana,SUBSPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Dichrostachys,2975868,
dicomaanomala,Dicoma anomala,,,3103392,Dicoma anomala Sond.,Dicoma anomala,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Dicoma,3103338,
dicomacapensis,Dicoma capensis,,,3103369,Dicoma capensis Less.,Dicoma capensis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Dicoma,3103338,creeping herb; multiple stems grow from a perennial rootstock; hairy leaves; mauve flowerheads
dicomaschinzii,Dicoma schinzii,,,3103342,Dicoma schinzii O.Hoffm.,Dicoma schinzii,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Dicoma,3103338,
dicrurusadsimilis,Dicrurus adsimilis,,,2493963,"Dicrurus adsimilis (Bechstein, 1794)",Dicrurus adsimilis,SPECIES,Animalia,1,Chordata,44,Aves,212,Passeriformes,729,Dicruridae,9310,Dicrurus,2493960,
digitaria,Digitaria,,,2704525,Digitaria Haller,Digitaria,GENUS,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Digitaria,2704525,
digitariaerianthasteud,Digitaria eriantha,,,5289987,Digitaria eriantha Steud.,Digitaria eriantha,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Digitaria,2704525,
digitariamilanjiana,Digitaria milanjiana,,,5289950,Digitaria milanjiana (Rendle) Stapf,Digitaria milanjiana,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Digitaria,2704525,
dinothrombium,Dinothrombium,,,4651354,"Dinothrombium Oudemans, 1910",Dinothrombium,GENUS,Animalia,1,Arthropoda,54,Arachnida,367,Prostigmata,372,Leeuwenhoekiidae,6069,Dinothrombium,4651354,
dioscoreaquartiniana,Dioscorea quartiniana,,,2755797,Dioscorea quartiniana A.Rich.,Dioscorea quartiniana,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Dioscoreales,1171,Dioscoreaceae,7694,Dioscorea,2754367,
diospyroschamaethamnus,Diospyros chamaethamnus,,,4071396,Diospyros chamaethamnus Mildbr.,Diospyros chamaethamnus,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ebenaceae,6709,Diospyros,3030169,
diospyroslycioides,Diospyros lycioides,,,4070128,Diospyros lycioides Desf.,Diospyros lycioides,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ebenaceae,6709,Diospyros,3030169,
dipcadi,Dipcadi,,,8407883,Dipcadi,Dipcadi,GENUS,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Dipcadi,8407883,
dipcadiglaucum,Dipcadi glaucum,,,2768304,Dipcadi glaucum Baker,Dipcadi glaucum,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Dipcadi,8407883,
dipcadilongifolium,Dipcadi longifolium,,,2768340,Dipcadi longifolium Baker,Dipcadi longifolium,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Dipcadi,8407883,
dipcadimarlothiiengl,Dipcadi marlothii,,,2768269,Dipcadi marlothii Engl.,Dipcadi marlothii,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Dipcadi,8407883,
dipcadiviride,Dipcadi viride,,,2768199,Dipcadi viride Moench,Dipcadi viride,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Dipcadi,8407883,
diplopoda,Diplopoda,,,361,Diplopoda,Diplopoda,CLASS,Animalia,1,Arthropoda,54,Diplopoda,361,,,,,,,
