id,scientific_name,synonyms,description,english_name,kingdom,phylum,class,order,family,genus,characteristics,biotope,countries__ids,general_uses,notes,refs__ids,links
catophractesalexandri,Catophractes alexandri,,,Trumpet thorn,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Bignoniaceae,Catophractes,"shrub, large trumpet-shaped white flowers, sometimes slightly pink, hairy blue-grey leaves, hard black thorns in pairs, fruit is a woody capsule",semi-arid savanna,"BW,NA,ZA",,,vanderwalt1999[75];vanrooyen2001[54],
cenchrusciliaris,Cenchrus ciliaris,,,Buffelgrass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,"perennial grass, 1m tall, buffy form, inflorescence is a dense, purple to straw-colored spike, the spikelets are surrounded by wavy bristles",sandy soil,US;BW;AU;MX;ES,,,vanrooyen2001[90],
centropodiaglauca,Centropodia glauca,,,Gha grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Centropodia,"grass, up to 1m tall, very hardy, almost succulent-like culms, short blue-green leaves","sandy soil, dune","BW,NA,ZA",,,vanderwalt1999[91];vanrooyen2001[90],
centropussuperciliosus,Centropus superciliosus,,,White-browed coucal,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Centropus,,,"BW,ZA",,,,
cephalocrotonmollisklotsch,Cephalocroton mollis,Cephalocroton pueschelii,,Cephalocroton sp.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Cephalocroton,,,"BW,NA,ZA",,,,
cephalophusnatalensis,Cephalophus natalensis,,,Natal red duiker,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,herbivore; height: 40cm; chestnut to reddish-brown coat with a slightly leghter belly; a tuft of dark hair between the horns; the ears are short and rounded; the tail has a white tip; both sexes have short horn which lie backwards in line with the face;,"forest, shrubland","ZA,MZ",,Red Duiker,cillie1997[66],
cerambycidae,Cerambycidae,,,"Longhorn beetle, Long-horned beetle, Longicorn",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,,"BW,ZA",,,,
ceratotheriumsimum,Ceratotherium simum,,,White rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,"herbivore; height: 150-180cm; the body is barrel-shaped with a low hanging head; the ears are pointy; the head is long with two horns on the snout, the front horn being the bigger one (± 85 cm); the square lips are characteristic; the white Rhinoceros is bigger than the black Rhinoceros","savanna, forest, grassland","BW,NA,ZA,ZW",,,cillie1997[102],
cercopithecusmitis,Cercopithecus mitis,,,Blue monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,"omnivore; body-length: 50-65cm, tail-length: 50 cm; the upper parts of the body are grey, the limbs are darker, the chest and belly are dull yellow; the face is black, just above the brow line is a prominent row of forward pointing white fur;",forest,"MZ,ZA,ZW",,Diademed Monkey,cillie1997[202],
cercotrichascoryphaeus,Cercotrichas coryphaeus,Erythropygia coryphaeus,,Kalahari scrub robin,Animalia,,,,,,,,,,,,
ceropegiadistincta,Ceropegia distincta,,,,Plantae,,,,,,,,,,,,
ceropegiamultiflorasubsptentaculata,Ceropegia multiflora subsp. tentaculata,,,Lantern flower,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,,,"BW,NA,ZA",,,,
ceropegianilotica,Ceropegia nilotica,,,White-banded ceropegia,Plantae,,,,,,,,,,,,
ceropegiastenoloba,Ceropegia stenoloba,,,,Plantae,,,,,,,,,,,,
chaerephonpumilus,Chaerephon pumilus,,,Little free-tailed bat,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Chaerephon,"insectivore; body-length: 5-25 cm, wing-span: 25 cm; dark brown back, lighter belly; oversized round ears;","savanna, forest, grassland","BW,MZ,NA,ZA,ZW",,Tadarida pumila according to IUCN,cillie1997[208],
chalicodoma,Chalicodoma,,,Chalicodoma sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,,,"BW,NA,ZA",,,,
chamaecristabiensis,Chamaecrista biensis,Cassia biensis,,,Plantae,,,,,,,,,,,,
chamaeleo,Chamaeleo,,,Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,,,,,,,
chamaeleodilepis,Chamaeleo dilepis,,,Flapneck chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,,,"BW,ZA",,,,
cheilantheshirta,Cheilanthes hirta,,,Lip fern,Viridiplantae,Streptophyta,,Polypodiales,Pteridaceae,Cheilanthes,,,"BW,NA",,,,
chilopoda,Chilopoda,,,Centipedes,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Geophilus,,,,,,,
chlorocebusaethiops,Chlorocebus aethiops,,,Vervet monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,"omnivore; body-length: 40-60 cm, tail-length: 30-50 cm; the fur is light grey with the belly and flanks even lighter; the face is black with a white fringe surrounding it; in males the scrotum and surrounding area are bright blue or greenish coloured;","savanna, scrubforest, grassland","BW,MZ,NA,ZA,ZW",,Grivet,cillie1997[200],
chlorophytumanceps,Chlorophytum anceps,Anthericum anceps,,,Plantae,,,,,,,,,,,,
choiromycesechinulatus,Choiromyces echinulatus,,,Choiromyces sp.,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Eremiomyces,"truffle-like fungus; sometimes encountered in vicinity to Kalahari truffle (Terfezia pfeilii), but is whiter and more compact, round and has a softer texture than the Kalahari truffle; dark brown veins in the white meat; unpleasant taste",,"BW,NA,ZA",,,vanderwalt1999[121],
chrysococcyxcaprius,Chrysococcyx caprius,,,Dideric cuckoo,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Chrysococcyx,,,"BW,NA,ZA",,,,
cicadellidae,Cicadellidae,,,Leafhopper,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Idiocerus,,,"BW,NA,ZA",,,,
cicadidae,Cicadidae,,,Cicada,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,,,,"BW,NA,ZA",,,,
ciconia,Ciconia,,,Storks,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,,,,,,,
ciconiaabdimii,Ciconia abdimii,,,Abdim's stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,carnivore; body-length: 76 cm; black plumage; white lower back and rump; greenish bill and legs;,,"BW,MZ,NA,ZA,ZW",,,sinclair1994[58],
circus,Circus,,,Harriers,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,,,,,,,
cissampelosmucronata,Cissampelos mucronata,,,Heart-leaved vine,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Menispermaceae,Cissampelos,,,TZ;SN,,,,
cissusquadrangularis,Cissus quadrangularis,,,Veld grape,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,,,"BW,ZA",,,,
cisticolaaridulus,Cisticola aridulus,Cisticola aridula,,Desert cisticola,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,,,"BW,NA,ZA",,,,
cisticolarufilatus,Cisticola rufilatus,Cisticola rufilata,,Tinkling cisticola,Animalia,,,,,,,,,,,,
citrulluslanatus,Citrullus lanatus,,,Watermelon,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,"annual, creeping herb; the hairy leaves are divided into 3-5 lobes; male and female flowers grow on the same plant and are yellow; the fruit is round with a diameter of 15-20 cm and a yellow and green surface","sandy soil, dune","BW,NA,ZA",,,vanderwalt1999[110];vanrooyen2001[148],
citrussinensis,Citrus sinensis,,,Orange,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,,,,,,,
civettictiscivetta,Civettictis civetta,,,African civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,"omnivore; height: 40 cm; the body is silver or cream in colour with distict, black stripes and spots on the hindquarters; a black mark begins between the ears and extends to the tip of the tail; the legs are black; the face is black around the eyes, grey on the forehead and white around the muzzle;","savanna, scrubforest, rainforest, grassland","BW,MZ,NA,ZA,ZW",,,cillie1997[142],
clamatorglandarius,Clamator glandarius,,,Great spotted cuckoo,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Clamator,,,,,,,
clematisoweniae,Clematis oweniae,Clematis brachiata,,Traveler's-joy,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,,"BW,NA",,,,
cleomeangustifolia,Cleome angustifolia,,,Yellow mouse-whiskers,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleome,"erect, annual herb; up to 1,5 m; spider-like yellow flowers with a reddish base and two large petals; fast-growing; thin, hairy pods 8 cm long; many compound, linear leaves",,"BW,NA,ZA",,,vanderwalt1999[117],
clerodendrumternatum,Clerodendrum ternatum,,,Dwarf catʼs whiskers,Plantae,,,,,,,,,,,,
clonia,Clonia,,,Clonia sp.,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Clonia,,,"BW,NA,ZA",,,,
clutiapulchella,Clutia pulchella,,,Clutia sp.,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Peraceae,Clutia,,,"BW,NA",,,,
cocciniarehmannii,Coccinia rehmannii,,,Wild cucumber,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Coccinia,,,"BW,NA,ZA",,,,
cocciniasessilifolia,Coccinia sessilifolia,,,,Plantae,,,,,,,,,,,,
coleoptera,Coleoptera,,,Beetles,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Crepidodera,,,,,,,
coliidae,Coliidae,,,Mousebird,Animalia,Chordata,Aves,Coliiformes,Coliidae,Colius,,,"BW,ZA",,,,
colophospermummopane,Colophospermum mopane,,,Mopane,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Colophospermum,,,"BW,ZA",,,,
colubridae,Colubridae,,,Advanced snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,,,"BW,NA,ZA",,,,
columbaarquatrix,Columba arquatrix,,,African olive pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,,,"BW,ZA",,,,
columbaguinea,Columba guinea,,,Speckled pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,,,"BW,ZA",,,,
combretum,Combretum,,,Combretum,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,,,,,
combretumalbopunctatum,Combretum albopunctatum,,,Okavango bushwillow,Plantae,,,,,,,,,,,,
combretumapiculatum,Combretum apiculatum,,,Red bushwillow,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,"shrub or small tree; up to 10 m tall; shiny, oblong leaves with a notch at the tip",rocky area,"BW,ZA",,,burke2007[32],
combretumcollinum,Combretum collinum,Combretum mechowianum,,Variable combretum,Plantae,,,,,,,,,,,,
combretumcollinumondogense,Combretum collinum subsp. ondogense,,,Combretum subsp.,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,,,not in EOL,,
combretumcollinumsubspgazense,Combretum collinum subsp. gazense,,,Bicolored bushwillow,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,"BW,NA,ZA,ZW",,,,
combretumengleri,Combretum engleri,,,Sand combretum,Plantae,,,,,,,,,,,,
combretumerythrophyllum,Combretum erythrophyllum,,,Bush-willow,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,"BW,NA",,,,
combretumhereroense,Combretum hereroense,,,Russet bush-willow,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,"BW,NA",,,,
combretumimberbe,Combretum imberbe,,,Leadwood,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,,,,,
combretummolle,Combretum molle,,,Velvet bush-willow,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,,,"BW,ZA",,,,
combretumplatypetalum,Combretum platypetalum,,,Redwings,Plantae,,,,,,,,,,,,
