id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,comments,scientific_name,GBIF_ID
eeac074ec80f8ba90e7e7ba22a19a35a,pycnonotusbarbatus,underside;head;thumbnail4,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/5/51/PycnonotusBarbatus01.jpg,Tom Tarrant,unknown,Uganda,,http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Common_bulbul.jpg,,Pycnonotus barbatus,2486147
709e08767ef2f6e41011cd913e4b3c76,pycnonotusbrunneus,general;side;thumbnail1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/4/40/PycnonotusBrunneus01.jpg,Lip Kee Yap,2007-04-09,Singapure,,http://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Red-eyed_Bulbul_-Pycnonotus_brunneus_-Singapore-8.jpg,,Pycnonotus brunneus,2486149
1917068802963d6a4e6d8fc68303c911,pycnonotusnigricans,general;group;thumbnail3,image/jpeg,,Charlesjsharp,,,,http://creativecommons.org/licenses/by-sa/4.0/,http://media.eol.org/data_objects/31799729,<b>English:</b> 1=African red-eyed bulbuls (Pycnonotus nigricans) bathing,Pycnonotus nigricans,2486146
cfb2704e4eb61da586a65b83fc20a5cf,pycnonotusnigricans,general;thumbnail1,image/jpeg,,Derek Keats,2014-10-11,,,http://creativecommons.org/licenses/by/2.0/,http://media.eol.org/data_objects/31456427,,Pycnonotus nigricans,2486146
da01a20f83c02e8bcf9642b5ee4cb41c,pycnonotusnigricans,general;thumbnail2,image/jpeg,,Bernard DUPONT,2011-10-31,"Northern Cape, South Africa",,http://creativecommons.org/licenses/by-nc-sa/2.0/,http://media.eol.org/data_objects/29707065,"Stofdam Bird Hide, Mokala NP, SOUTH AFRICA",Pycnonotus nigricans,2486146
3860b92a9d16d3954101aef9787297bc,python,general;thumbnail1,image/jpeg,,Vivek Sharma,2013-05-04,"Jabalpur, Madhya Pradesh (India)",,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/27435359,Python molurus,Python,2454645
5a028394b9d07a87f174df226dde1f21,python,head;thumbnail3,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Head-Python_breitensteini.jpg,Python breitensteini,Python,2454645
e236e865e7aae61b8954509420d89abf,python,general;thumbnail2,image/jpeg,,inaturalist,2012-09-26,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/29684817,Python natalensis,Python,2454645
0e6bc44e01663aa749b98fc2c1915fac,pythonsebae,general;head;thumbnail1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/1/1e/PythonSebae01.jpg,Joachim Huber,2007-04-24,unknown,,http://creativecommons.org/licenses/by-sa/2.0/deed.en,http://commons.wikimedia.org/wiki/File:Rock_python_crop.jpg,,Python sebae,2465346
141afd0bbefd4d4a3cb96f8ab5307dfc,pythonsebae,general,image/jpeg,,,,,,https://creativecommons.org/licenses/by/2.5/,http://commons.wikimedia.org/wiki/File:Python_sebae.jpg,,Python sebae,2465346
